file;time
t000000;  3.353219867483795465e-03
t000001;  6.692740116717592162e-03
t000002;  1.004227017081828557e-02
t000003;  1.338942993525694264e-02
t000004;  1.673432015236458320e-02
t000005;  2.009773992984490582e-02
t000006;  2.344779026286110749e-02
t000007;  2.677433985330323479e-02
t000008;  3.013191004908796072e-02
t000009;  3.347362018892591912e-02
t000010;  3.515544998112152264e-02
t000011;  3.681216999832986198e-02
t000012;  3.849400029256365430e-02
t000013;  4.017583008475925782e-02
t000014;  4.183256014273147722e-02
t000015;  4.351438022885532192e-02
t000016;  4.519621002105092544e-02
t000017;  4.685294024636921240e-02
t000018;  4.853477003856481592e-02
t000019;  5.021659012468864675e-02
t000020;  5.187331984796875184e-02
t000021;  5.355514997485646966e-02
t000022;  5.523697993439814075e-02
t000023;  5.689369978426041946e-02
t000024;  5.857553007849420484e-02
t000025;  6.025735987068981531e-02
t000026;  6.191407988789814076e-02
t000027;  6.359591001478587247e-02
t000028;  6.527773997432755049e-02
t000029;  6.693447003229975600e-02
t000030;  6.728497000590394350e-02
t000031;  6.760523004355786791e-02
t000032;  6.793631000837846434e-02
t000033;  6.827060000541435025e-02
t000034;  6.860534016336458651e-02
t000035;  6.894005003167706647e-02
t000036;  6.927473011239004830e-02
t000037;  6.960943998070254213e-02
t000038;  6.994462009145717418e-02
t000039;  7.027939991042475576e-02
t000040;  7.061334986025694094e-02
t000041;  7.094874986374073711e-02
t000042;  7.128308019117822469e-02
t000043;  7.161775006378125197e-02
t000044;  7.195272015522453934e-02
t000045;  7.228772990768517204e-02
t000046;  7.262295018149537984e-02
t000047;  7.295679018496298296e-02
t000048;  7.329118025494561761e-02
t000049;  7.362562002670949846e-02
t000050;  7.396259023831944224e-02
t000051;  7.429662017957060216e-02
t000052;  7.463198018734490402e-02
t000053;  7.496660019082058979e-02
t000054;  7.530230007845255258e-02
t000055;  7.613654999915395183e-02
t000056;  7.697477003789700289e-02
t000057;  7.781080018603589443e-02
t000058;  7.864890994372222832e-02
t000059;  7.948456004894793869e-02
t000060;  8.031950010482061253e-02
t000061;  8.115833999338775695e-02
t000062;  8.199669976609491595e-02
t000063;  8.283192012662615733e-02
t000064;  8.366703003875464173e-02
t000065;  8.450819001316435541e-02
t000066;  8.534005006471413746e-02
t000067;  8.618352008420256116e-02
t000068;  8.701460013574420505e-02
t000069;  8.785584980764468699e-02
t000070;  8.868747021962963828e-02
t000071;  8.952460016610648552e-02
t000072;  9.036361978434723219e-02
t000073;  9.120329004408797569e-02
t000074;  9.204353999059722291e-02
t000075;  9.287203990051158542e-02
t000076;  9.371377989638195183e-02
t000077;  9.455351023335996363e-02
t000078;  9.538129992657522205e-02
t000079;  9.622013010907061459e-02
t000080;  9.705612009415394426e-02
t000081;  9.789319983681135651e-02
t000082;  9.873419999572918826e-02
t000083;  9.957149025973614787e-02
t000084;  1.004069899208495514e-01
t000085;  1.012432598758993274e-01
t000086;  1.020825500927268897e-01
t000087;  1.029160600091296313e-01
t000088;  1.037566801251342818e-01
t000089;  1.045938502346666910e-01
t000090;  1.054309401854340300e-01
t000091;  1.062664199323657549e-01
t000092;  1.071039299217558111e-01
t000093;  1.079408801385590283e-01
t000094;  1.087799198383275351e-01
t000095;  1.096075697975786994e-01
t000096;  1.104496401345810008e-01
t000097;  1.112928698451203513e-01
t000098;  1.121156299523576316e-01
t000099;  1.129535199846608690e-01
t000100;  1.137925498110115702e-01
t000101;  1.146330497725416425e-01
t000102;  1.154764202211215202e-01
t000103;  1.163083398478703540e-01
t000104;  1.171449600582337575e-01
t000105;  1.188195901206828553e-01
t000106;  1.204892202174074056e-01
t000107;  1.221575098721527641e-01
t000108;  1.238438399347233515e-01
t000109;  1.255158697740173246e-01
t000110;  1.271764300487210619e-01
t000111;  1.288601100190092386e-01
t000112;  1.305326199741631832e-01
t000113;  1.322115101653842384e-01
t000114;  1.338803400132268229e-01
t000115;  1.355537999919907699e-01
t000116;  1.372338701403148231e-01
t000117;  1.388933701103518825e-01
t000118;  1.405759598210277739e-01
t000119;  1.422450597654189852e-01
t000120;  1.439301101326319610e-01
t000121;  1.455962699740104560e-01
t000122;  1.472713398219178405e-01
t000123;  1.489394899100451308e-01
t000124;  1.506052600024386512e-01
t000125;  1.522962302366944742e-01
t000126;  1.539683201532257018e-01
t000127;  1.556410901641643862e-01
t000128;  1.573229100829421356e-01
t000129;  1.589796398062222338e-01
t000130;  1.606614701004560330e-01
t000131;  1.623432998926516435e-01
t000132;  1.640000199098599620e-01
t000133;  1.656818502040937890e-01
t000134;  1.673636799962893440e-01
t000135;  1.690203998461516366e-01
t000136;  1.707022301403854359e-01
t000137;  1.723840599325810463e-01
t000138;  1.740407901578993333e-01
t000139;  1.757226102440231641e-01
t000140;  1.774044400362187468e-01
t000141;  1.790611702615370338e-01
t000142;  1.807430000537326442e-01
t000143;  1.824248199725104214e-01
t000144;  1.840815501978287361e-01
t000145;  1.857633799900242910e-01
t000146;  1.874452097822198737e-01
t000147;  1.891019297994282200e-01
t000148;  1.907837600936620193e-01
t000149;  1.924655898858576020e-01
t000150;  1.941223097357198668e-01
t000151;  1.958041400299536383e-01
t000152;  1.974859698221492210e-01
t000153;  1.991427000474675080e-01
t000154;  2.008245201335913110e-01
t000155;  2.025063499257869215e-01
t000156;  2.041630801511051807e-01
t000157;  2.058449099433007912e-01
t000158;  2.075267298620785683e-01
t000159;  2.091834600873968553e-01
t000160;  2.108652898795924380e-01
t000161;  2.125471201738262372e-01
t000162;  2.142038401910345835e-01
t000163;  2.158856699832301662e-01
t000164;  2.175675001101178840e-01
t000165;  2.192242201273262026e-01
t000166;  2.209060499195217853e-01
t000167;  2.225878802137556123e-01
t000168;  2.242446099370357104e-01
t000169;  2.259264300231595690e-01
t000170;  2.276082598153551240e-01
t000171;  2.292649900406733832e-01
t000172;  2.309468201675611565e-01
t000173;  2.326286397516468263e-01
t000174;  2.342853699769650577e-01
t000175;  2.359671997691606404e-01
t000176;  2.376490300633944674e-01
t000177;  2.393057500806027582e-01
t000178;  2.409875798727983409e-01
t000179;  2.426694099996860587e-01
t000180;  2.443261300168944050e-01
t000181;  2.460079598090899600e-01
t000182;  2.476897901033237870e-01
t000183;  2.493465198266038851e-01
t000184;  2.510283399127276605e-01
t000185;  2.527101700396153783e-01
t000186;  2.543668997628955597e-01
t000187;  2.560487300571292479e-01
t000188;  2.577305501432531898e-01
t000189;  2.593872798665332047e-01
t000190;  2.610691101607670039e-01
t000191;  2.627509399529626144e-01
t000192;  2.644076598028248237e-01
t000193;  2.660894900970586230e-01
t000194;  2.677713198892542334e-01
t000195;  2.694280399064624687e-01
t000196;  2.711098702006962680e-01
t000197;  2.727916999928918784e-01
t000198;  2.744484302182100821e-01
t000199;  2.761302501369878870e-01
t000200;  2.778120799291834975e-01
t000201;  2.794688101545018122e-01
t000202;  2.811506302406256430e-01
t000203;  2.828324600328211980e-01
t000204;  2.844891902581394572e-01
t000205;  2.861710200503350676e-01
t000206;  2.878528498425306226e-01
t000207;  2.895095701944310762e-01
t000208;  2.911913999866266867e-01
t000209;  2.928732297788222416e-01
t000210;  2.945299497960305879e-01
t000211;  2.962117800902643872e-01
t000212;  2.978936098824599421e-01
t000213;  2.995503297323222069e-01
t000214;  3.012321600265559507e-01
t000215;  3.029139898187515056e-01
t000216;  3.045707200440698759e-01
t000217;  3.062525401301937067e-01
t000218;  3.079343699223893172e-01
t000219;  3.095911001477075208e-01
t000220;  3.112729299399030758e-01
t000221;  3.129547498586808807e-01
t000222;  3.146114800839992509e-01
t000223;  3.162933098761948059e-01
t000224;  3.179751401704285496e-01
t000225;  3.196318601876368404e-01
t000226;  3.213136899798324508e-01
t000227;  3.229955202740663056e-01
t000228;  3.246522401239285704e-01
t000229;  3.263340699161240699e-01
t000230;  3.280159002103579802e-01
t000231;  3.296726299336379951e-01
t000232;  3.313544500197618814e-01
t000233;  3.330362798119574363e-01
t000234;  3.346930100372756955e-01
t000235;  3.380566597482490554e-01
t000236;  3.413952197657629251e-01
t000237;  3.447337700772050706e-01
t000238;  3.480974299962883434e-01
t000239;  3.514359798056923556e-01
t000240;  3.547745398232062808e-01
t000241;  3.581381900362177739e-01
t000242;  3.614767500537316436e-01
t000243;  3.648152998631356003e-01
t000244;  3.681789599495650100e-01
t000245;  3.715175100936610741e-01
t000246;  3.748560599030650309e-01
t000247;  3.782197199894943851e-01
t000248;  3.815582701335904492e-01
t000249;  3.848968301511042633e-01
t000250;  3.882604800294237046e-01
t000251;  3.915990400469376298e-01
t000252;  3.949375901910336384e-01
t000253;  3.983012497754248593e-01
t000254;  4.016398000868670048e-01
t000255;  4.049783601043808745e-01
t000256;  4.083420098153541788e-01
t000257;  4.116805698328681595e-01
t000258;  4.150191201443101385e-01
t000259;  4.183827802307396038e-01
t000260;  4.217213298727974791e-01
t000261;  4.250598801842396246e-01
t000262;  4.284235402706690898e-01
t000263;  4.317620899127269096e-01
t000264;  4.351006499302407793e-01
t000265;  4.384642998085602761e-01
t000266;  4.418028598260740902e-01
t000267;  4.451414099701701543e-01
t000268;  4.485050700565995085e-01
t000269;  4.518436198660035208e-01
t000270;  4.551821798835173349e-01
t000271;  4.585458300965289391e-01
t000272;  4.618843799059328403e-01
t000273;  4.652229399234466545e-01
t000274;  4.685865901364583141e-01
